drawdate,cashball,winningnums,num1,num2,num3,num4,num5
6/16/2014,3,09 36 44 53 59,9,35,36,39,35
6/19/2014,2,08 13 43 56 60,8,12,35,42,36
6/23/2014,4,05 16 21 33 47,5,15,13,19,23
6/26/2014,3,15 22 51 52 58,15,21,43,38,34
6/30/2014,2,01 04 10 28 33,1,3,3,14,9
7/3/2014,2,08 10 25 28 31,8,9,17,14,7
7/7/2014,2,11 13 23 54 55,11,12,15,40,31
7/10/2014,3,11 12 31 54 59,11,11,23,40,35
7/14/2014,2,09 19 34 37 49,9,18,26,23,25
7/17/2014,1,08 09 22 46 51,8,8,14,32,27
7/21/2014,3,04 06 11 24 31,4,5,4,10,7
7/24/2014,3,05 20 35 43 48,5,19,27,29,24
7/28/2014,2,06 15 31 51 53,6,14,23,37,29
7/31/2014,1,13 25 26 32 58,13,24,18,18,34
8/4/2014,3,17 21 36 48 60,17,20,28,34,36
8/7/2014,2,03 18 38 40 49,3,17,30,26,25
8/11/2014,3,05 10 33 48 57,5,9,25,34,33
8/14/2014,2,03 11 34 46 60,3,10,26,32,36
8/18/2014,2,06 10 29 44 57,6,9,21,30,33
8/21/2014,2,11 24 40 43 47,11,23,32,29,23
8/25/2014,4,06 08 34 40 59,6,7,26,26,35
8/28/2014,2,12 24 27 38 49,12,23,19,24,25
9/1/2014,2,09 21 27 45 53,9,20,19,31,29
9/4/2014,3,03 21 28 32 56,3,20,20,18,32
9/8/2014,2,01 17 23 44 45,1,16,15,30,21
9/11/2014,2,12 44 56 58 59,12,42,46,44,35
9/15/2014,1,03 05 09 32 56,3,4,2,18,32
9/18/2014,3,05 10 11 24 28,5,9,4,10,6
9/22/2014,1,28 39 40 53 54,27,38,32,39,30
9/25/2014,4,09 11 28 30 41,9,10,20,16,17
9/29/2014,1,19 36 37 43 50,19,35,29,29,26
10/2/2014,1,23 34 35 44 52,23,33,27,30,28
10/6/2014,3,16 30 37 52 55,16,29,29,38,31
10/9/2014,4,23 26 32 50 57,23,25,24,36,33
10/13/2014,4,10 13 49 54 57,10,12,41,40,33
10/16/2014,4,12 13 20 28 45,12,12,12,14,21
10/20/2014,3,08 16 43 52 59,8,15,35,38,35
10/23/2014,1,09 22 24 36 54,9,21,16,22,30
10/27/2014,1,06 09 28 40 41,6,8,20,26,17
10/30/2014,1,19 22 29 38 53,19,21,21,24,29
11/3/2014,4,03 27 28 49 52,3,26,20,35,28
11/6/2014,3,03 07 14 20 32,3,6,6,7,8
11/10/2014,2,07 21 30 53 55,7,20,22,39,31
11/13/2014,4,07 08 16 49 56,7,7,8,35,32
11/17/2014,1,08 23 37 38 58,8,22,29,24,34
11/20/2014,2,02 40 46 59 60,2,39,38,45,36
11/24/2014,1,08 25 26 33 56,8,24,18,19,32
11/27/2014,3,09 30 43 51 55,9,29,35,37,31
12/1/2014,1,04 07 33 50 55,4,6,25,36,31
12/4/2014,4,01 15 21 41 60,1,14,13,27,36
12/8/2014,4,04 11 14 46 59,4,10,6,32,35
12/11/2014,4,12 22 27 35 49,12,21,19,21,25
12/15/2014,3,08 22 31 38 40,8,21,23,24,16
12/18/2014,2,20 22 26 27 43,20,21,18,13,19
12/22/2014,3,03 17 30 50 55,3,16,22,36,31
12/25/2014,2,05 14 22 37 60,5,13,14,23,36
12/29/2014,4,08 09 35 37 41,8,8,27,23,17
1/1/2015,2,13 19 20 21 35,13,18,12,8,11
1/5/2015,3,12 23 29 38 43,12,22,21,24,19
1/8/2015,3,16 28 38 43 45,16,27,30,29,21
1/12/2015,1,01 05 11 39 47,1,4,4,25,23
1/15/2015,3,12 15 22 25 27,12,14,14,11,5
1/19/2015,3,18 29 47 52 53,18,28,39,38,29
1/22/2015,2,08 11 35 47 60,8,10,27,33,36
1/26/2015,1,01 20 24 46 57,1,19,16,32,33
1/29/2015,2,08 24 28 57 60,8,23,20,43,36
2/2/2015,4,04 08 17 20 21,4,7,9,7,1
2/5/2015,2,14 17 38 40 45,14,16,30,26,21
2/9/2015,4,09 17 36 38 53,9,16,28,24,29
2/12/2015,2,06 11 32 56 60,6,10,24,42,36
2/16/2015,2,06 26 35 40 43,6,25,27,26,19
2/19/2015,4,18 43 51 52 60,18,41,43,38,36
2/23/2015,4,01 14 20 21 43,1,13,12,8,19
2/26/2015,3,03 16 20 38 49,3,15,12,24,25
3/2/2015,4,08 23 27 38 47,8,22,19,24,23
